Date,US_Actual,Unchecked,Italy_Trajectory,Hubei_China_Trajectory,South_Korea_Trajectory
1/22/2020 0:00,1,0.578703704,,,
1/23/2020 0:00,1,0.694444444,,,
1/24/2020 0:00,2,0.833333333,,,
1/25/2020 0:00,2,1,,,
1/26/2020 0:00,5,1.2,,,
1/27/2020 0:00,5,1.44,,,
1/28/2020 0:00,5,1.728,,,
1/29/2020 0:00,5,2.0736,,,
1/30/2020 0:00,5,2.48832,,,
1/31/2020 0:00,7,2.985984,,,
2/1/2020 0:00,8,3.5831808,,,
2/2/2020 0:00,8,4.29981696,,,
2/3/2020 0:00,11,5.159780352,,,
2/4/2020 0:00,11,6.191736422,8.510592849,,
2/5/2020 0:00,11,7.430083707,10.24377511,,
2/6/2020 0:00,11,8.916100448,12.32991382,,
2/7/2020 0:00,11,10.69932054,14.84088456,,
2/8/2020 0:00,11,12.83918465,17.86319834,,
2/9/2020 0:00,11,15.40702157,21.50098109,,
2/10/2020 0:00,11,18.48842589,25.87955958,,
2/11/2020 0:00,12,22.18611107,31.14977685,,
2/12/2020 0:00,12,26.62333328,37.49318566,,0.970199057
2/13/2020 0:00,13,31.94799994,45.12829806,,1.271979028
2/14/2020 0:00,13,38.33759992,54.31810586,,1.667624815
2/15/2020 0:00,13,46.00511991,65.37912967,,2.186330551
2/16/2020 0:00,13,55.20614389,78.69230662,,2.866368924
2/17/2020 0:00,13,66.24737267,94.71608931,,3.757913351
2/18/2020 0:00,13,79.4968472,114.0022036,,4.926736732
2/19/2020 0:00,13,95.39621664,137.2146027,,6.459058532
2/20/2020 0:00,13,114.47546,165.1522629,,8.467895829
2/21/2020 0:00,15,137.370552,198.7765948,,11.10138343
2/22/2020 0:00,15,164.8446624,239.2443982,,14.55367091
2/23/2020 0:00,15,197.8135948,287.9474723,,19.07919018
2/24/2020 0:00,51,237.3763138,346.5602111,,25.01132835
2/25/2020 0:00,51,284.8515766,417.0967741,,32.78685261
2/26/2020 0:00,57,341.8218919,501.9797299,,42.97783618
2/27/2020 0:00,58,410.1862702,604.1224325,,56.33334927
2/28/2020 0:00,60,492.2235243,727.0278173,,73.83383431
2/29/2020 0:00,68,590.6682292,874.9068021,,96.76190793
