Date,Cases,Gompertz,New Cases,Italy,Germany,Spain
date,number,number,number,number,number,number
2/1/2020,8,1.59E-35,1,3.77E-24,1.55E-116,4.88E-101
2/2/2020,8,6.32E-33,0,3.77E-24,3.81E-106,7.73E-93
2/3/2020,11,1.72E-30,3,3.77E-24,1.21E-96,2.86E-85
2/4/2020,11,3.26E-28,0,3.77E-24,5.94E-88,2.77E-78
2/5/2020,11,4.45E-26,0,3.77E-24,5.27E-80,7.78E-72
2/6/2020,11,4.44E-24,0,2.74E-22,9.8E-73,6.97E-66
2/7/2020,11,3.31E-22,0,1.52E-20,4.36E-66,2.18E-60
2/8/2020,11,1.87E-20,0,6.56E-19,5.25E-60,2.56E-55
2/9/2020,11,8.22E-19,0,2.23E-17,1.91E-54,1.23E-50
2/10/2020,11,2.83E-17,0,6.07E-16,2.33E-49,2.58E-46
2/11/2020,12,7.8E-16,1,1.34E-14,1.05E-44,2.51E-42
2/12/2020,12,1.74E-14,0,2.43E-13,1.88E-40,1.2E-38
2/13/2020,13,3.19E-13,1,3.68E-12,1.46E-36,3.01E-35
2/14/2020,13,4.86E-12,0,4.7E-11,5.29E-33,4.13E-32
2/15/2020,13,6.23E-11,0,5.1E-10,9.52E-30,3.25E-29
2/16/2020,13,6.79E-10,0,4.76E-09,9.02E-27,1.53E-26
2/17/2020,13,6.35E-09,0,3.86E-08,4.76E-24,4.47E-24
2/18/2020,13,5.16E-08,0,2.75E-07,1.47E-21,8.47E-22
2/19/2020,13,3.67E-07,0,1.72E-06,2.79E-19,1.07E-19
2/20/2020,13,2.31E-06,0,9.65E-06,3.37E-17,9.33E-18
2/21/2020,15,1.29E-05,2,4.84E-05,2.71E-15,5.76E-16
2/22/2020,15,6.45E-05,0,0.000219382,1.5E-13,2.59E-14
2/23/2020,15,0.000291765,0,0.000903844,5.87E-12,8.7E-13
2/24/2020,51,0.001198837,36,0.003405572,1.68E-10,2.23E-11
2/25/2020,51,0.00450315,0,0.011801516,3.62E-09,4.44E-10
2/26/2020,57,0.015551635,6,0.037812041,6E-08,7.04E-09
2/27/2020,58,0.04964285,1,0.112568226,7.82E-07,9.02E-08
2/28/2020,60,0.147207071,2,0.312829733,8.18E-06,9.5E-07
2/29/2020,68,0.407403245,8,0.815066163,7E-05,8.34E-06
3/1/2020,74,1.05693335,6,1.99911355,0.000499178,6.2E-05
3/2/2020,98,2.580956084,24,4.633374967,0.003008464,0.000394927
3/3/2020,118,5.955152978,20,10.18413118,0.015552714,0.002181253
3/4/2020,149,13.03010505,31,21.29954707,0.069876355,0.010562885
3/5/2020,217,27.12749663,68,42.52048382,0.276135134,0.045304476
3/6/2020,262,53.90753516,45,81.26118688,0.970377301,0.173715474
3/7/2020,402,102.5536847,140,149.080369,3.062955799,0.600646985
3/8/2020,518,187.2913173,116,263.2266639,8.764027399,1.887730173
3/9/2020,583,329.2113384,65,448.3947902,22.92299137,5.432388131
3/10/2020,959,558.3125129,376,738.5764139,55.22987437,14.41175436
3/11/2020,1281,915.6153739,322,1178.84154,123.4406446,35.46797598
3/12/2020,1663,1455.147146,382,1826.851993,257.5785257,81.44390456
3/13/2020,2179,2245.562337,516,2753.896464,504.7502053,175.4282139
3/14/2020,2727,3371.156613,548,4045.251602,933.875833,356.2023632
3/15/2020,3499,4932.05692,772,5799.71616,1639.37728,684.8949518
3/16/2020,4632,7043.427608,1133,8128.230786,2742.806367,1252.282791
3/17/2020,6421,9833.614115,1789,11151.57646,4391.578749,2185.815182
3/18/2020,7783,13441.24192,1362,14997.22918,6754.388597,3655.18163
3/19/2020,13747,18011.38612,5964,19795.52665,10013.4225,5875.184137
3/20/2020,19273,23691.0138,5526,25675.36424,14354.0377,9104.859801
